#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	40.0485	3694223	0.4979	100.0000	3694223	730477	730526	0.5012	40	8.05
scaffold_2	40.2241	2175945	0.4981	100.0000	2175945	431611	431639	0.5010	40	7.80
scaffold_3	40.2895	1789474	0.4975	100.0000	1789474	356124	356185	0.5010	40	7.96
scaffold_4	39.9401	1586173	0.4976	100.0000	1586173	312701	312800	0.5005	40	7.74
scaffold_5	40.1503	1329930	0.4970	100.0000	1329930	264183	264144	0.4999	40	7.87
scaffold_6	40.1856	1263955	0.4971	100.0000	1263955	250380	250531	0.5003	40	7.73
scaffold_7	40.1253	1075505	0.5009	100.0000	1075505	213143	213153	0.5041	40	7.91
scaffold_8	40.3106	1027394	0.4994	100.0000	1027394	204559	204566	0.5027	40	7.88
scaffold_9	40.0357	1017642	0.4963	100.0000	1017642	201066	201135	0.4995	40	7.81
scaffold_10	39.8410	1004299	0.4972	100.0000	1004299	198006	198037	0.5001	40	7.68
scaffold_11	39.9762	979692	0.4967	100.0000	979692	193271	193298	0.4998	39	9.27
scaffold_12	40.5790	965368	0.5004	100.0000	965368	193451	193503	0.5034	40	7.77
scaffold_13	40.4083	955424	0.4984	100.0000	955424	190673	190613	0.5012	40	7.89
scaffold_14	39.9285	938388	0.4963	100.0000	938388	185310	185362	0.4992	40	7.79
scaffold_15	40.1496	912088	0.4966	100.0000	912088	180637	180629	0.4995	40	7.72
scaffold_16	39.4914	907938	0.4935	100.0000	907938	176925	176895	0.4969	39	7.81
scaffold_17	39.5706	896949	0.4953	100.0000	896949	175506	175570	0.4983	39	7.78
scaffold_18	39.8676	824821	0.4944	100.0000	824821	162508	162634	0.4972	39	7.71
scaffold_19	39.3959	774721	0.4947	100.0000	774721	151025	151044	0.4980	39	7.93
scaffold_20	39.7966	767236	0.4974	100.0000	767236	150917	150884	0.5004	40	7.79
scaffold_21	38.8850	682773	0.4870	100.0000	682773	131304	131309	0.4907	38	8.15
scaffold_22	39.4100	665783	0.4935	100.0000	665783	129800	129823	0.4968	39	7.74
scaffold_23	40.4059	649498	0.4997	100.0000	649498	129641	129630	0.5029	40	7.94
scaffold_24	39.9568	596343	0.4967	100.0000	596343	117580	117571	0.5002	40	7.89
scaffold_25	39.2769	580996	0.4899	100.0000	580996	112709	112749	0.4932	39	11.92
scaffold_26	39.4592	579987	0.4951	100.0000	579987	113228	113204	0.4979	39	7.83
scaffold_27	39.3443	576716	0.4923	100.0000	576716	112276	112184	0.4959	39	7.89
scaffold_28	39.3699	554820	0.4934	100.0000	554820	107806	107788	0.4965	39	7.86
scaffold_29	40.0941	552048	0.4976	100.0000	552048	108681	108730	0.5006	40	7.74
scaffold_30	39.6692	531959	0.4975	100.0000	531959	104291	104252	0.5006	39	8.02
scaffold_31	40.3853	474045	0.4993	100.0000	474045	94463	94497	0.5020	40	8.40
scaffold_32	40.4249	455175	0.4976	100.0000	455175	90650	90633	0.5008	40	7.96
scaffold_33	39.1994	439295	0.4955	100.0000	439295	85131	85173	0.4987	39	7.77
scaffold_34	40.4558	372080	0.4973	100.0000	372080	74420	74379	0.5002	40	7.86
scaffold_35	40.2763	367589	0.4967	100.0000	367589	73099	73117	0.4998	40	7.97
scaffold_36	39.3565	349415	0.4827	100.0000	349415	67428	67400	0.4881	39	8.21
scaffold_37	40.7754	341965	0.5008	100.0000	341965	68946	68996	0.5042	40	8.00
scaffold_38	40.1135	330667	0.4958	100.0000	330667	65317	65376	0.4987	40	7.89
scaffold_39	39.8983	327251	0.4959	100.0000	327251	64546	64592	0.4993	40	7.82
