SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Mapped_reads	Average_Coverage
5401	218	22125150	1000	1027766	34014	101491.51	24	292451	80	74316	97.8	97.7	0.1	1.5	0.7	1315	NA	21477408	98.0
5401_shovill	316	22135072	985	827335	20737	70047.70	35	181915	117	51822	97.7	97.6	0.1	1.6	0.7	1315	NA	21571227	98.4
5457	401	32540911	1001	1278062	3781	81149.40	21	462175	71	101141	98.1	97.9	0.2	1.4	0.5	1315	NA	20395883	63.3
5457_shovill	423	32610271	1000	1071316	5242	77092.84	27	395543	82	98421	98.2	98.0	0.2	1.4	0.4	1315	NA	20465484	63.4
5474	12459	41996791	1000	45765	2406	3370.80	2794	4404	9108	1566	48.9	31.9	17.0	29.0	22.1	1315	NA	NA	NA
5501	194	28914169	1010	939049	22963	149042.11	22	436548	62	144440	98.3	98.2	0.1	1.2	0.5	1315	NA	15480966	54.1
5501_shovill	186	28920438	1031	1652151	53978	155486.23	23	401421	72	115910	98.4	98.3	0.1	1.1	0.5	1315	NA	15427896	53.9
5508	702	26100761	1004	431248	6212	37180.57	63	123023	229	27521	96.9	96.7	0.2	2.4	0.7	1315	NA	19782894	76.6
5508_shovill	791	26439004	1004	481561	5552	33424.78	68	121504	246	22136	96.6	96.5	0.1	2.6	0.8	1315	NA	19900430	76.0
5521	4515	44581010	1000	1664601	6166	9873.98	773	16500	2713	4662	92.5	32.9	59.6	5.6	1.9	1315	NA	4816303	10.9
5522	180	28918803	1003	1159491	11909	160660.02	20	509538	55	194106	98.2	98.1	0.1	1.3	0.5	1315	NA	20760554	72.5
5522_shovill	207	28998252	1029	1174051	33693	140088.17	22	433356	71	116197	98.4	98.3	0.1	1.1	0.5	1315	NA	20756364	72.3
5536	221	27650546	1006	1191132	13450	125115.59	18	540711	56	118095	98.0	97.9	0.1	1.5	0.5	1315	NA	23472367	85.7
5536_shovill	228	27705785	1003	1164172	14063	121516.60	20	461658	61	134639	98.4	98.3	0.1	1.2	0.4	1315	NA	23580555	86.0
5737	8728	38272845	990	213039	2902	4385.06	1679	6176	6026	1944	59.8	42.5	17.3	21.2	19.0	1315	NA	NA	NA
5748	199	29725694	1000	1766511	7337	149375.35	15	643224	48	171084	98.0	97.9	0.1	1.4	0.6	1315	NA	14318615	48.7
5748_shovill	224	29776965	1015	1267089	12200	132932.88	20	515137	63	123877	98.1	98.0	0.1	1.4	0.5	1315	NA	14373407	48.8
5792	146	37880712	1056	2935748	11959	259456.93	10	1427631	30	361919	98.0	97.9	0.1	1.7	0.3	1315	NA	15193751	40.5
5792_shovill	178	37886950	1116	3694223	9160	212848.03	14	938388	39	327251	98.0	97.9	0.1	1.7	0.3	1315	NA	15210283	40.5
5910	82	24421379	1064	4909174	6365	297821.70	4	2186129	13	649830	95.4	95.2	0.2	3.7	0.9	1315	NA	19574189	81.0
5910_shovill	76	24433635	1026	4914387	6115	321495.20	3	4084318	9	697761	95.5	95.4	0.1	3.7	0.8	1315	NA	19617792	81.1
6328	188	29737342	1000	1299103	10011	158177.35	17	632614	50	171226	98.0	97.9	0.1	1.4	0.6	1315	NA	13375476	45.4
6328_shovill	214	29766484	1016	1267114	11417	139095.72	18	561111	59	144851	98.0	97.9	0.1	1.5	0.5	1315	NA	13392789	45.4
6388	199	29725970	1000	1622494	8251	149376.73	15	712731	47	169878	98.0	97.9	0.1	1.4	0.6	1315	NA	16113664	54.7
6388_shovill	233	29774537	1016	1129419	13610	127787.71	21	515152	68	113159	98.2	98.1	0.1	1.4	0.4	1315	NA	16167081	54.8
I176	2052	24332872	1001	110739	7920	11858.12	369	19951	1201	5949	95.9	95.6	0.3	3.4	0.7	1315	NA	16940811	70.3
ISOF63N	2071	35269665	1000	141848	10846	17030.26	357	30098	1162	8885	93.0	92.8	0.2	5.3	1.7	1315	NA	19570195	56.0
VA06	6179	15129876	974	58341	1649	2448.60	1382	2865	4789	1198	NA	NA	NA	NA	NA	NA	NA	NA	NA
VA06_shovill	4799	21623160	987	61221	2608	4505.76	788	7250	3197	1832	87.4	87.3	0.1	8.1	4.5	1315	NA	23947966	111.9
VA15	3564	17484126	851	82863	2563	4905.76	540	8857	2185	1793	62.3	62.1	0.2	15.6	22.1	1315	NA	NA	NA
VA15_shovill	3154	21839301	1001	118379	4249	6924.32	543	11494	1951	3044	89.9	89.7	0.2	7.0	3.1	1315	NA	20953363	96.9
VA18	12	57062	1034	18670	1945	4755.17	2	13405	8	1744	0.0	0.0	0.0	0.0	100.0	1315	NA	492918	872.5
VA8-04	5895	12307827	997	38302	1474	2087.84	1450	2220	4729	1123	25.0	24.8	0.2	26.2	48.8	1315	NA	NA	NA
VA8-04_shovill	4005	21415055	981	58413	3127	5347.08	666	8705	2592	2221	88.9	88.8	0.1	6.8	4.3	1315	NA	17067143	80.5
