#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_1	81.8271	4909174	0.4911	100.0000	4909174	1979080	1978845	0.5064	72	76.39
scaffold_2	80.7166	2972139	0.4906	100.0000	2972139	1183404	1183548	0.5038	72	37.99
scaffold_3	79.6861	2246960	0.4911	100.0000	2246960	883195	883212	0.5042	71	33.35
scaffold_4	81.6760	2186129	0.4918	100.0000	2186129	880537	880533	0.5049	73	33.79
scaffold_5	82.3736	1749524	0.4920	100.0000	1749524	711505	711623	0.5061	73	35.13
scaffold_6	81.0693	1608314	0.4907	100.0000	1608314	642402	642337	0.5045	72	34.37
scaffold_7	81.3116	1232050	0.4914	100.0000	1232050	493239	493269	0.5052	72	34.47
scaffold_8	81.5847	1189783	0.4919	100.0000	1189783	477517	477382	0.5054	73	34.22
scaffold_9	79.6310	1130428	0.4908	99.9920	1130338	443891	444033	0.5045	71	34.11
scaffold_10	78.5819	1044723	0.4893	100.0000	1044723	405296	405354	0.5030	70	33.31
scaffold_11	76.2558	798961	0.4879	100.0000	798961	300317	300178	0.5011	68	31.95
scaffold_12	77.9286	697722	0.4891	100.0000	697722	267395	267253	0.5036	69	33.99
scaffold_13	77.8876	649830	0.4881	100.0000	649830	249786	249766	0.5024	69	33.36
scaffold_14	79.7224	444983	0.4905	100.0000	444983	174514	174524	0.5050	71	34.40
scaffold_15	78.0292	327131	0.4885	99.9887	327094	126059	125955	0.5022	68	38.86
scaffold_16	88.0563	185649	0.4969	100.0000	185649	80168	80252	0.5122	78	39.14
scaffold_17	79.5650	164398	0.4861	100.0000	164398	64443	64570	0.5022	71	35.33
scaffold_18	121.3423	93457	0.5170	100.0000	93457	55746	55910	0.5424	105	63.30
scaffold_19	74.5393	91562	0.4686	100.0000	91562	33709	33727	0.4992	67	38.57
scaffold_20	85.9896	64980	0.4957	100.0000	64980	27559	27490	0.5088	77	34.01
scaffold_21	67.8548	63748	0.4786	100.0000	63748	21543	21389	0.4884	60	33.78
scaffold_22	93.8631	60003	0.4897	100.0000	60003	27865	27873	0.5139	77	50.96
scaffold_23	64.2735	56077	0.4784	99.9857	56069	17770	17818	0.4919	58	27.38
scaffold_24	80.7722	54682	0.4906	100.0000	54682	21810	21912	0.5062	69	40.43
scaffold_25	94.8422	48042	0.4974	100.0000	48042	22466	22455	0.5097	85	40.39
scaffold_26	85.4634	44862	0.4941	100.0000	44862	18983	18961	0.5111	73	40.23
scaffold_27	105.4891	34425	0.4974	100.0000	34425	17568	17659	0.5116	88	60.97
scaffold_28	101.3536	31786	0.4988	100.0000	31786	15917	15969	0.5164	94	40.24
scaffold_29	85.6414	28760	0.4858	100.0000	28760	12169	12210	0.5054	75	38.71
scaffold_30	62.9037	16659	0.4438	100.0000	16659	5174	5198	0.4889	55	40.47
scaffold_31	17.2406	14516	0.3574	99.9173	14504	1225	1243	0.3560	15	10.12
scaffold_32	42.1952	12282	0.4188	100.0000	12282	2571	2561	0.4505	38	22.89
scaffold_33	74.8225	11973	0.4899	100.0000	11973	4460	4414	0.4993	71	24.85
scaffold_34	45.5365	11487	0.4034	100.0000	11487	2365	2331	0.4108	42	17.03
scaffold_35	30.8706	7812	0.2724	100.0000	7812	991	1005	0.2780	32	14.84
scaffold_36	93.1413	7277	0.4897	100.0000	7277	3309	3377	0.5113	82	42.98
scaffold_37	288.3486	7264	0.2965	100.0000	7264	5669	5897	0.3069	273	197.34
scaffold_38	19.2590	6881	0.3133	100.0000	6881	649	615	0.3113	19	7.83
scaffold_39	359.8724	6568	0.3039	100.0000	6568	5232	5085	0.3061	295	176.66
scaffold_40	85.6363	6368	0.4868	100.0000	6368	2713	2700	0.5041	73	53.60
scaffold_41	33.4732	6365	0.3232	100.0000	6365	1063	1045	0.3308	33	11.42
scaffold_42	339.4440	5712	0.3297	100.0000	5712	9473	9701	0.3339	339	70.21
scaffold_43	419.3331	5527	0.5828	100.0000	5527	11538	11422	0.5955	431	113.41
scaffold_44	30.9103	4649	0.3048	100.0000	4649	706	691	0.3237	31	14.17
scaffold_45	22.0416	4397	0.3716	100.0000	4397	487	476	0.3716	21	5.87
scaffold_46	236.4924	3706	0.3009	100.0000	3706	4309	4382	0.3077	239	46.86
scaffold_47	58.9894	3571	0.4416	100.0000	3571	1019	1070	0.4536	55	17.59
scaffold_48	129.7667	3271	0.4870	100.0000	3271	2102	2115	0.5066	125	67.89
scaffold_49	72.4376	3220	0.4755	100.0000	3220	1145	1168	0.4917	68	23.49
scaffold_50	235.1734	3004	0.2696	100.0000	3004	3482	3535	0.2730	237	35.97
scaffold_51	20.9788	2918	0.2361	100.0000	2918	302	299	0.2601	16	13.25
scaffold_52	19.0515	2891	0.3234	100.0000	2891	270	276	0.3253	19	6.27
scaffold_53	21.9467	2812	0.3233	100.0000	2812	314	301	0.3323	20	8.13
scaffold_54	31.0412	2764	0.3166	100.0000	2764	440	411	0.3119	28	16.36
